Lat,Lng,Elev
45.771859,13.615481,75.4171
45.771863,13.61541,75.6708
45.771858,13.615345,75.80971
45.771843,13.615272,75.51529
45.77185,13.615117,75.88067
45.77186,13.614999,76.33384
45.771878,13.614966,77.09381
45.771916,13.614916,77.87652
45.771937,13.614845,77.92276
45.771955,13.614807,77.59493
45.77198,13.614734,76.83972
45.772036,13.614691,76.70328
45.772059,13.614658,76.72611
45.772087,13.61463,76.6572
45.772097,13.61455,76.71719
45.772162,13.614472,76.28939
45.772185,13.614447,76.17425
45.772244,13.614366,76.55003
45.772279,13.614302,76.94237
45.772368,13.61424,76.54935
45.772401,13.614184,76.54613
45.772403,13.614142,76.77389
45.772389,13.614108,77.14796
45.77235,13.614059,78.10496
45.772262,13.613907,79.68071
45.77222,13.613794,79.13412
45.772215,13.613684,78.98996
45.772229,13.613604,79.27718
45.772262,13.613525,80.16599
45.772307,13.613433,80.88898
45.772329,13.613402,81.09047
45.772342,13.613365,81.25418
45.772334,13.613329,81.30582
45.772349,13.613282,81.59587
45.772362,13.613255,81.82483
45.772391,13.61323,82.1469
45.772399,13.613169,82.65231
45.772453,13.61303,83.97476
45.77246,13.612994,84.26064
45.772488,13.612934,84.72107
45.772502,13.612853,85.23973
45.772513,13.612821,85.29671
45.772518,13.612719,85.575
45.772526,13.612674,85.4411
45.772525,13.612605,85.32211
45.772549,13.612506,84.72596
45.772571,13.612481,84.30646
45.772634,13.612372,83.33554
45.772646,13.612344,83.2741
45.772648,13.612261,83.51606
45.772661,13.612231,83.44675
45.772659,13.612198,83.5413
45.772662,13.612121,83.6399
45.772691,13.612049,83.39134
45.772715,13.612015,82.93503
45.772747,13.61195,82.00293
45.772754,13.611909,81.66355
45.772751,13.611868,81.55303
45.77277,13.611787,80.69872
45.77278,13.611746,80.32052
45.772779,13.611712,80.25139
45.77275,13.611572,80.46881
45.772748,13.611534,80.40604
45.772719,13.611418,80.52796
45.772714,13.611379,80.49532
45.772723,13.611347,80.33061
45.772729,13.611218,79.93055
45.772724,13.61118,79.85831
45.772746,13.611065,79.15149
45.772764,13.610926,78.3917
45.772772,13.610894,78.16247
45.772779,13.610824,77.82584
45.772779,13.61074,77.55299
45.772771,13.610698,77.50856
45.772753,13.610671,77.56777
45.772731,13.610589,77.35246
45.77272,13.61041,76.73795
45.772724,13.610367,76.58527
45.772711,13.610319,76.45339
45.772727,13.610278,76.26657
45.772732,13.610239,76.10267
45.772706,13.61015,75.9056
45.772711,13.610112,75.73996
45.772701,13.610043,75.68912
45.772661,13.609925,76.32094
45.772629,13.609867,76.55081
45.772627,13.609795,76.28127
45.772667,13.609724,75.41142
45.772679,13.609656,74.99149
45.772661,13.609576,75.26221
45.772644,13.609547,75.59722
45.772621,13.609492,76.00972
45.772612,13.609459,76.11598
45.772614,13.609425,76.03161
45.772612,13.609389,75.95299
45.772597,13.609322,75.79862
45.772605,13.609277,75.49384
45.772595,13.609208,75.09079
45.772598,13.609166,74.7685
45.772618,13.609059,73.74877
45.772619,13.608946,72.65825
45.772627,13.608903,72.29305
45.772648,13.6088
